"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.840666402E-3,2.797907308E-2,-2.154698968E-3,2.012845516E-1,2.032312525E-1
1.179366652E-2,-1.026763760E-1,1.529339254E-2,3.565211105E-1,3.713268483E-1
2.174666664E-2,-8.452588767E-2,-7.238852978E-4,3.919651777E-1,4.009761217E-1
3.169966629E-2,-8.475539088E-4,-6.371827841E-2,3.287135071E-1,3.348332526E-1
4.165366665E-2,1.717619598E-2,3.408926725E-3,2.548239970E-1,2.554249634E-1
5.160666630E-2,-2.848441869E-2,6.542595774E-2,1.050575083E-1,1.269999926E-1
6.155966641E-2,-1.437763086E-1,1.119782728E-1,1.408173251E-1,2.303047536E-1
7.151266653E-2,-1.324736407E-1,8.589676738E-2,1.956472510E-1,2.514067759E-1
8.146666642E-2,-1.505658031E-5,1.079293683E-1,5.010946870E-2,1.189945697E-1
9.141966654E-2,2.422179848E-2,1.243530276E-1,-1.451045036E-1,1.926283675E-1
1.013726667E-1,-2.280516431E-2,7.857488394E-2,-1.490765172E-1,1.700526268E-1
1.113256663E-1,-2.252902955E-2,1.572433233E-2,-5.005918264E-2,5.710283326E-2
1.212796667E-1,5.428555012E-2,3.631998003E-3,4.371729255E-2,6.979479944E-2
1.312326663E-1,8.896143928E-2,-1.187130958E-2,1.171296698E-1,1.475615980E-1
1.411856664E-1,9.062643394E-2,2.973601520E-3,2.323163098E-1,2.493849647E-1
1.511386666E-1,9.383319318E-3,-2.695040166E-2,2.533212626E-1,2.549235825E-1
1.610916667E-1,-6.514967680E-2,-2.994505316E-2,2.184788740E-1,2.299439170E-1
1.710456666E-1,-5.196449786E-2,-2.485768318E-2,1.576766020E-1,1.678693667E-1
1.809986667E-1,-3.602206439E-2,-3.890912712E-2,5.730037451E-2,7.806947044E-2
1.909516663E-1,-4.758200973E-2,-2.690654755E-2,1.368014574E-2,5.634852561E-2
2.009046664E-1,-6.359957993E-2,-1.684173524E-2,2.384611487E-2,6.997991003E-2
2.108586663E-1,-8.556274518E-2,-1.984340340E-2,5.100584686E-2,1.015693873E-1
2.208116665E-1,-8.371458650E-3,2.375665247E-2,8.583771050E-2,8.945709810E-2
2.307646666E-1,5.431610182E-2,5.296788007E-2,7.610618949E-2,1.074615620E-1
2.407176667E-1,3.121243715E-2,6.319846094E-2,8.338071048E-2,1.091815212E-1
2.506716666E-1,-5.088656366E-2,4.029579431E-2,1.081126785E-1,1.261013269E-1
2.606246667E-1,-5.346796319E-2,5.625196874E-2,6.159924746E-2,9.908367354E-2
2.705776663E-1,-4.782773897E-2,1.542577350E-1,-2.828765988E-2,1.639607670E-1
2.805306665E-1,-9.365646109E-2,2.711924002E-1,4.954579711E-2,2.911556914E-1
2.904836666E-1,-1.822192664E-1,3.097983491E-1,1.849474311E-1,4.042083998E-1
3.004376665E-1,-2.996806195E-1,3.092434484E-1,3.461247611E-1,5.524874065E-1
3.103906666E-1,-3.368516618E-1,3.306965902E-1,4.114486849E-1,6.261942967E-1
3.203436662E-1,-2.710549906E-1,2.880823749E-1,2.639550090E-1,4.755360233E-1
3.302966664E-1,-2.184794587E-1,2.830081612E-1,1.292228812E-1,3.801650249E-1
3.402506663E-1,-2.597704491E-1,3.243985543E-1,1.286603791E-1,4.350501136E-1
3.502036664E-1,-3.634699416E-1,1.544205800E-1,8.620023787E-2,4.042110773E-1
3.601566665E-1,-5.513194920E-1,1.967579296E-1,-3.303676844E-3,5.853868630E-1
3.701096666E-1,-4.717431262E-1,4.037552109E-1,1.202398038E-1,6.324693336E-1
3.800636665E-1,-4.141239323E-1,4.012730679E-1,1.063228458E-1,5.863644377E-1
3.900166666E-1,-4.843558627E-1,3.217032802E-1,-8.788365126E-4,5.814588331E-1
3.999696663E-1,-5.284757361E-1,3.262395501E-1,-1.732296109E-1,6.447692190E-1
4.099226664E-1,-4.612081978E-1,3.911363348E-1,-3.889573699E-1,7.190191025E-1
4.198756665E-1,-5.484998184E-1,1.309024939E-1,-5.961458552E-1,8.205957558E-1
4.298296664E-1,-6.569649379E-1,-2.018561170E-1,-8.121946263E-1,1.063959084E0
4.397826665E-1,-6.327985418E-1,3.270172298E-2,-6.781115395E-1,9.280833245E-1
4.497356666E-1,-6.816724938E-1,5.236959296E-1,-2.669137001E-1,9.000987384E-1
4.596896665E-1,-9.229137012E-1,8.582408649E-1,1.426399022E-1,1.268342708E0
4.696426666E-1,-1.211208769E0,7.286665660E-1,1.225482845E-1,1.418802216E0
4.795956663E-1,-1.268347175E0,2.049048552E-1,-1.743043292E-1,1.296561821E0
4.895486664E-1,-1.140114374E0,-1.532195619E-1,-5.328006291E-1,1.267759256E0
4.995026663E-1,-8.550582254E-1,-2.287774287E-1,-7.886537361E-1,1.185511871E0
5.094556664E-1,-4.236733125E-1,-4.842124598E-1,-9.851546806E-1,1.176643755E0
5.194086665E-1,-5.048537157E-2,-1.138883096E0,-1.248151916E0,1.690410212E0
5.293616666E-1,-7.790603556E-2,-1.246565420E0,-1.648863943E0,2.068513234E0
5.393146663E-1,-1.600458938E-1,-1.195463825E0,-2.093420148E0,2.416020770E0
5.492686667E-1,-1.944229902E-1,-1.170767525E0,-2.610881776E0,2.867961043E0
5.592216663E-1,-1.219300511E-1,-8.929636779E-1,-3.257483840E0,3.379859766E0
5.691746664E-1,4.755954912E-1,-3.339409178E-1,-3.829200613E0,3.873045951E0
5.791276665E-1,1.305069005E0,1.637979205E0,-4.356451650E0,4.833720302E0
5.890816664E-1,1.706389874E0,1.870457629E0,-4.464198877E0,5.132197362E0
5.990346665E-1,1.198442250E0,-2.038665359E-1,-2.697508276E0,2.958779527E0
6.089876667E-1,9.419999633E-1,-1.963331294E-1,-3.551081893E0,3.679143004E0
6.189406663E-1,6.187908058E-1,4.230805510E-1,-3.926930975E0,3.997835177E0
6.288946667E-1,6.537684113E-2,-1.246275544E-1,-2.997017280E0,3.000319772E0
6.388476663E-1,-3.444591452E-1,-6.211957656E-1,-2.363509471E0,2.467937054E0
6.488006664E-1,-9.244864561E-2,-8.217947312E-1,-1.443282273E0,1.663417281E0
6.587536666E-1,9.402081572E-1,-1.276301289E0,3.996431565E-1,1.634824459E0
6.687066667E-1,2.271233391E0,-3.886329372E0,4.579086140E0,6.421065876E0
6.786606666E-1,3.604739453E0,-4.248306811E0,8.627667852E0,1.027029259E1
6.886173333E-1,3.812916702E0,-1.610198353E0,1.002192999E1,1.084297714E1
6.985703330E-1,2.965870624E0,2.157781474E0,1.013144600E1,1.077490638E1
7.085233331E-1,1.735382854E0,5.108424048E0,1.124906643E1,1.247593866E1
7.184773330E-1,1.271133958E0,6.590949324E0,1.442000329E1,1.590575020E1
7.284303331E-1,8.244201310E-1,6.590751103E0,1.763391368E1,1.884336967E1
7.383833332E-1,4.279523049E-1,6.378003670E0,1.942518949E1,2.044994036E1
7.483363333E-1,2.398359022E-1,6.994750435E0,1.976041504E1,2.096325493E1
7.582903332E-1,6.819107679E-1,6.466073263E0,1.775970600E1,1.891248960E1
7.682433333E-1,9.364397728E-1,5.158901306E0,1.550259071E1,1.636525285E1
7.781963330E-1,1.869733744E0,3.542060517E0,1.303234909E1,1.363393633E1
7.881493331E-1,2.962619572E0,2.432828212E0,1.016739585E1,1.086608054E1
7.981023332E-1,3.171961002E0,2.133829086E0,7.526138377E0,8.441405217E0
8.080563331E-1,2.420385630E0,2.491879536E0,5.040247267E0,6.121423261E0
8.180093332E-1,1.260246881E0,2.156308122E0,2.728200896E0,3.698779129E0
8.279623333E-1,-5.615212753E-1,1.338360712E0,7.233409220E-1,1.621646579E0
8.379153330E-1,-2.469508673E0,3.552066565E-1,-3.360517627E-1,2.517454199E0
8.478693333E-1,-3.332252771E0,-6.447672075E-1,-1.758785166E0,3.822689962E0
8.578223330E-1,-3.531435249E0,-1.546910429E0,-3.186103370E0,5.001521916E0
8.677753331E-1,-3.226835659E0,-3.280961873E0,-3.980171628E0,6.084319631E0
8.777283332E-1,-2.445571927E0,-4.663377846E0,-4.586315053E0,6.982993681E0
8.876813333E-1,-1.438881512E0,-5.333796204E0,-5.385891387E0,7.715412367E0
8.976353332E-1,-4.035444188E-1,-5.288972034E0,-6.350166830E0,8.274097658E0
9.075883334E-1,-1.662359025E-1,-5.099601184E0,-7.729675861E0,9.261827872E0
9.175413330E-1,-5.282479870E-1,-4.708840241E0,-1.002697848E1,1.109019927E1
9.274943331E-1,-2.281112847E-1,-3.861951452E0,-1.152037139E1,1.215259893E1
9.374483330E-1,1.411382642E-2,-2.906789187E0,-1.243406082E1,1.276931834E1
9.474013331E-1,-1.459048413E-1,-2.513858927E0,-1.306918187E1,1.330955633E1
9.573543333E-1,-3.244517639E-1,-2.614818707E0,-1.324085612E1,1.350047468E1
9.673073329E-1,2.599455732E-1,-2.916464868E0,-1.298164671E1,1.330776053E1
9.772613333E-1,1.067042158E0,-3.164940250E0,-1.220253563E1,1.265137548E1
9.872143329E-1,3.053594646E0,-2.427053210E0,-9.649312082E0,1.040789370E1
9.971673330E-1,7.054411331E0,-4.708882633E-1,-8.401315117E0,1.098037115E1
1.007120333E0,8.047275565E0,2.087830210E-1,-8.598814182E0,1.177887260E1
1.017073333E0,7.028986468E0,-6.519148439E-2,-8.342774549E0,1.090929823E1
1.027027333E0,4.218650318E0,-1.347078326E0,-8.942474926E0,9.978952266E0
1.036980333E0,2.751437731E0,-1.919038343E0,-8.589686678E0,9.221487677E0
1.046933333E0,2.808027084E0,-1.641523056E0,-8.243666582E0,8.862147187E0
1.056886333E0,3.055299402E0,-1.136678550E0,-8.182213515E0,8.807696099E0
1.066840333E0,2.820809682E0,-1.004925579E0,-7.960276013E0,8.504871362E0
1.076793333E0,2.461816369E0,-1.249012626E0,-7.935243498E0,8.401705883E0
1.086746333E0,5.818472202E-1,-1.886511160E0,-6.994432347E0,7.267706268E0
1.096699333E0,1.392134339E-1,-1.690602246E0,-6.772239906E0,6.981457561E0
1.106652333E0,9.357798415E-1,-1.777702955E0,-7.133693728E0,7.411173855E0
1.116606333E0,9.354580984E-1,-1.224873565E0,-7.822682843E0,7.973064904E0
1.126559333E0,1.237268639E-1,-6.708612844E-1,-7.731854534E0,7.761890087E0
1.136512333E0,-1.205444583E0,-1.341557677E0,-6.456626501E0,6.703797388E0
1.146465333E0,-2.631325396E0,-2.075015744E0,-4.852000837E0,5.896734334E0
1.156419333E0,-3.158792780E0,-2.323505306E0,-3.388821074E0,5.182736440E0
1.166372333E0,-2.881933258E0,-1.404504562E0,-1.081802139E0,3.383558517E0
1.176325333E0,-1.653737597E0,1.316981245E0,2.174515767E0,3.032788562E0
1.186278333E0,-3.227383836E-1,5.113276067E0,5.763155496E0,7.711271845E0
1.196231333E0,5.108423975E-1,9.841956203E0,1.144409680E1,1.510272867E1
1.206185333E0,9.072074953E-1,1.317103335E1,2.206861043E1,2.571619551E1
1.216138333E0,1.217443070E0,1.310000488E1,3.312768095E1,3.564457238E1
1.226091333E0,1.139477904E0,1.161219606E1,4.038633026E1,4.203804442E1
1.236044333E0,1.326884528E0,1.035190474E1,4.005701039E1,4.139428265E1
