"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.672429150E-2,-3.815764296E-1,1.634726545E-1,-1.094978839E-1,4.293176761E-1
3.667729162E-2,-4.707467607E-1,1.417245206E-1,8.083307862E-2,4.982191677E-1
4.662929149E-2,-5.705341735E-1,1.978060430E-1,3.481660241E-1,6.970337540E-1
5.658229161E-2,-5.841614020E-1,1.160926661E-1,4.495216602E-1,7.461848120E-1
6.653529126E-2,-4.625670907E-1,-1.246193683E-1,3.092142123E-1,5.701856973E-1
7.648829138E-2,-4.734127986E-1,-1.400992870E-1,2.220263797E-1,5.413346483E-1
8.644029126E-2,-4.840661332E-1,-2.468343616E-2,1.970494133E-1,5.232186585E-1
9.639329137E-2,-3.551882377E-1,-6.332242191E-3,9.709886312E-2,3.682756722E-1
1.063462915E-1,-2.538226613E-1,-6.544905424E-2,-6.288329601E-2,2.695622953E-1
1.162992916E-1,-2.019987890E-1,-3.795164555E-2,-1.177810496E-1,2.368886106E-1
1.262522913E-1,-1.111055759E-1,4.247885227E-2,-3.153801012E-1,3.370660323E-1
1.362042916E-1,-6.428575069E-2,9.129374743E-2,-5.140445155E-1,5.260313393E-1
1.461572913E-1,-7.074400038E-2,1.416870984E-1,-5.946226555E-1,6.153503473E-1
1.561102914E-1,-6.321571022E-2,2.066189665E-1,-6.943761545E-1,7.272178953E-1
1.660632915E-1,-8.758281201E-2,2.965278009E-1,-6.655762786E-1,7.338877763E-1
1.760152914E-1,-1.081006917E-1,2.616088137E-1,-5.609695905E-1,6.283405227E-1
1.859682915E-1,-1.031922466E-1,1.560347039E-1,-5.195824134E-1,5.522330603E-1
1.959212916E-1,-1.032969117E-2,2.013912633E-1,-4.365209609E-1,4.808489293E-1
2.058742912E-1,6.446409076E-2,2.780374432E-1,-3.904507488E-1,4.836447312E-1
2.158272914E-1,2.784765691E-2,2.721165526E-1,-2.330910659E-1,3.593805159E-1
2.257792912E-1,8.091230839E-3,3.148813337E-1,-1.339936244E-1,3.423010572E-1
2.357322914E-1,-4.826174855E-2,4.179499117E-1,-3.847058594E-2,4.224823203E-1
2.456852915E-1,-3.179540455E-2,4.290958741E-1,5.361487448E-2,4.335997829E-1
2.556382916E-1,4.835749671E-2,3.785946420E-1,1.186283112E-2,3.818547855E-1
2.655902915E-1,1.013883805E-1,3.815705824E-1,-9.688660920E-2,4.065251875E-1
2.755432916E-1,1.495473643E-1,4.509583211E-1,-3.179961455E-1,5.717074165E-1
2.854962912E-1,2.063188581E-1,4.827624965E-1,-6.399151880E-1,8.277188816E-1
2.954492914E-1,2.740211369E-1,4.745033044E-1,-9.441540045E-1,1.091635357E0
3.054022915E-1,2.690251297E-1,4.659318709E-1,-1.229030936E0,1.341634850E0
3.153542913E-1,1.949297976E-1,4.953497976E-1,-1.407136540E0,1.504460797E0
3.253072915E-1,3.224021687E-1,4.857863840E-1,-1.510666755E0,1.619273175E0
3.352602916E-1,4.661499721E-1,4.412633452E-1,-1.659859048E0,1.779646368E0
3.452132912E-1,4.438206249E-1,4.364861700E-1,-1.625444090E0,1.740564683E0
3.551662914E-1,4.483121637E-1,3.828568237E-1,-1.676866844E0,1.777482927E0
3.651182912E-1,5.977209489E-1,3.066187795E-1,-1.900688903E0,2.015912626E0
3.750712913E-1,7.026790546E-1,5.114289097E-1,-1.918621729E0,2.106282679E0
3.850242915E-1,7.137424251E-1,4.213614696E-1,-2.232956933E0,2.381820816E0
3.949772916E-1,7.962628640E-1,2.745237051E-1,-2.305008663E0,2.454070649E0
4.049292915E-1,7.687544187E-1,1.309377234E-1,-2.248784761E0,2.380159857E0
4.148822916E-1,6.327965683E-1,7.107568368E-2,-2.235333826E0,2.324263445E0
4.248352912E-1,2.912533931E-1,3.945174873E-2,-2.377122958E0,2.395224110E0
4.347882913E-1,4.172108236E-1,-2.364321649E-3,-2.905151675E0,2.934957702E0
4.447412915E-1,9.591962591E-1,-3.686083286E-1,-3.313101386E0,3.468799555E0
4.546932913E-1,1.588841105E0,-5.448814152E-1,-3.061367058E0,3.491887752E0
4.646462915E-1,6.958829820E-1,-6.545123233E-1,-3.364405441E0,3.497408108E0
4.745992916E-1,1.672599400E0,-1.847606125E-1,-3.930078532E0,4.275189177E0
4.845522912E-1,2.673194969E0,2.537649201E-1,-3.694032283E0,4.566863528E0
4.945052913E-1,2.320458468E0,1.695392869E-2,-3.296943775E0,4.031705991E0
5.044572917E-1,1.928198299E0,-5.823295424E-1,-2.712417507E0,3.378500423E0
5.144102913E-1,2.606067471E0,-1.005381077E0,-1.628236136E0,3.233192182E0
5.243632914E-1,2.608162236E0,-9.841066403E-1,-6.591724080E-1,2.864521669E0
5.343162916E-1,2.071167692E0,-9.466175826E-1,-1.284407576E0,2.614483367E0
5.442692912E-1,1.897957961E0,-4.634605452E-1,-2.108610045E0,2.874591522E0
5.542212916E-1,1.743272064E0,-8.058857365E-2,-1.963256450E0,2.626759961E0
5.641742917E-1,1.732551633E0,-1.887789105E-2,-1.841587586E0,2.528544319E0
5.741272913E-1,2.076837152E0,-6.528098334E-2,-1.610155376E0,2.628709664E0
5.840802914E-1,2.645139443E0,3.125800889E-2,-1.154011744E0,2.886084344E0
5.940322913E-1,3.042294025E0,2.615649961E-1,-8.553833306E-1,3.171064462E0
6.039852914E-1,3.277946756E0,5.123713713E-1,-6.408396327E-1,3.379073067E0
6.139382916E-1,3.476355939E0,6.584947888E-1,-6.062697244E-1,3.589739403E0
6.238912917E-1,3.702847545E0,4.494859922E-1,-1.153177931E0,3.904220401E0
6.338442913E-1,3.711447045E0,6.226088183E-1,-1.405416874E0,4.017172824E0
6.437962917E-1,3.041015823E0,5.035011086E-1,-1.372101778E-1,3.085468723E0
