"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.519270847E-2,1.905585654E-1,-2.391686618E-2,5.857331336E-2,2.007869925E-1
2.521770843E-2,1.753195520E-1,-4.144535691E-2,3.148901045E-2,1.828830793E-1
3.524270840E-2,1.644617110E-1,-9.093297422E-3,-8.763163626E-2,1.865734336E-1
4.526770837E-2,1.407522748E-1,4.827051938E-2,-2.151681805E-1,2.616077059E-1
5.529270833E-2,1.085798711E-1,8.073075235E-2,-2.641503060E-1,2.967868375E-1
6.531770830E-2,9.880303413E-2,4.695957363E-2,-2.096840769E-1,2.365050807E-1
7.534270850E-2,1.362192940E-1,3.922867745E-2,-2.100711626E-1,2.534254891E-1
8.536770847E-2,9.722019285E-2,7.644006550E-2,-2.047946352E-1,2.392398213E-1
9.539270843E-2,4.387048960E-2,6.609604865E-2,-1.665655392E-1,1.844922393E-1
1.054177084E-1,2.710622996E-3,3.450178832E-2,-1.561797148E-1,1.599681974E-1
1.154427084E-1,-3.125629127E-2,5.152858794E-3,-1.601792103E-1,1.632816190E-1
1.254677083E-1,-4.189318053E-2,-4.993843764E-2,-1.283662641E-1,1.439679961E-1
1.354937083E-1,-6.780650541E-2,-6.984411389E-2,-1.193603826E-1,1.540221521E-1
1.455187083E-1,-6.691677846E-2,-4.829215407E-2,-1.452179396E-1,1.670276545E-1
1.555437085E-1,-5.495381378E-2,-2.980091929E-2,-1.597640580E-1,1.715592337E-1
1.655687084E-1,-4.404122829E-2,-1.226102650E-2,-1.821746814E-1,1.878232603E-1
1.755937084E-1,-5.243022859E-2,3.454330355E-2,-1.938077170E-1,2.037243232E-1
1.856187084E-1,-6.670101620E-2,5.738252789E-2,-1.619053084E-1,1.842691210E-1
1.956437083E-1,-6.296888463E-2,2.522108763E-2,-1.003206789E-1,1.211008766E-1
2.056687083E-1,-4.837328419E-2,1.057819784E-2,-8.678028166E-2,9.991341341E-2
2.156937083E-1,-2.217746571E-2,4.795009196E-3,-7.964492440E-2,8.281392444E-2
2.257187085E-1,-2.554421939E-2,1.487531662E-3,-1.012766987E-1,1.044590331E-1
2.357437084E-1,-2.503017604E-2,-2.515150577E-2,-1.342818922E-1,1.388910887E-1
2.457687084E-1,-4.829164244E-2,-4.354275316E-2,-1.332042503E-1,1.482276168E-1
2.557937084E-1,-8.618766636E-2,-2.040181249E-2,-9.850336432E-2,1.324668282E-1
2.658187083E-1,-9.886442989E-2,6.679859161E-3,-2.679720461E-2,1.026493360E-1
2.758437083E-1,-1.246657075E-1,5.420076549E-3,1.139388442E-2,1.253025796E-1
2.858687083E-1,-1.315842792E-1,-2.468899101E-2,5.250682712E-2,1.438086775E-1
2.958947085E-1,-1.107781318E-1,-2.719803125E-2,8.636512935E-2,1.430750256E-1
3.059197085E-1,-8.807938680E-2,-2.666388810E-2,6.290668488E-2,1.114728322E-1
3.159447084E-1,-3.297193743E-2,-3.195444882E-2,-1.076472402E-2,4.716052100E-2
3.259697084E-1,3.533910960E-4,-3.169278592E-2,-8.959571600E-2,9.503657133E-2
3.359947084E-1,1.844591886E-2,1.617252141E-2,-1.344438601E-1,1.366636524E-1
3.460197083E-1,3.159469888E-3,8.320120096E-2,-1.809795105E-1,1.992134667E-1
3.560447083E-1,2.370022684E-3,8.599090755E-2,-1.949122560E-1,2.130512631E-1
3.660697085E-1,4.540801495E-3,6.143932611E-2,-1.850497574E-1,1.950354388E-1
3.760947085E-1,1.216220856E-3,3.486957818E-2,-1.558095860E-1,1.596683869E-1
3.861197084E-1,1.076413929E-2,5.273720741E-2,-1.692844945E-1,1.776353563E-1
3.961447084E-1,3.422470339E-2,7.560917616E-2,-2.498684818E-1,2.632913520E-1
4.061697084E-1,8.424756020E-2,8.927675039E-2,-3.442834729E-1,3.655121055E-1
4.161947083E-1,1.183654788E-1,1.100317347E-1,-4.535433751E-1,4.814758170E-1
4.262197083E-1,1.189936160E-1,1.189712504E-1,-5.354809928E-1,5.612962967E-1
4.362447085E-1,8.916550711E-2,1.302818120E-1,-6.307321358E-1,6.501898686E-1
4.462697085E-1,6.438303374E-2,1.300809601E-1,-7.608174813E-1,7.745382308E-1
4.562947084E-1,3.338131562E-2,1.294096997E-1,-8.711187726E-1,8.813110113E-1
4.663197084E-1,2.047687612E-2,1.199287319E-1,-9.401562631E-1,9.479957818E-1
4.763457084E-1,3.667519838E-2,1.194545227E-1,-1.020204061E0,1.027828185E0
4.863707083E-1,6.276642479E-2,9.582563192E-2,-1.121975434E0,1.127808073E0
4.963957083E-1,7.182917051E-2,9.900154710E-2,-1.238681180E0,1.244705509E0
5.064207085E-1,9.576211654E-2,8.763689876E-2,-1.367946162E0,1.374091449E0
5.164457085E-1,9.601544715E-2,7.511333227E-2,-1.498741359E0,1.503691006E0
5.264707084E-1,8.547299042E-2,8.492554486E-2,-1.623343186E0,1.627808674E0
5.364957084E-1,8.165680513E-2,6.919536531E-2,-1.777677519E0,1.780896739E0
5.465207084E-1,5.504554197E-2,2.642269045E-2,-1.942144493E0,1.943104063E0
5.565457083E-1,4.982397839E-2,3.672022194E-2,-2.071898886E0,2.072823147E0
5.665707083E-1,2.982862048E-2,4.703207910E-2,-2.222684544E0,2.223382186E0
5.765919583E-1,1.387931652E-2,4.918853223E-2,-2.368940365E0,2.369491633E0
5.866169585E-1,7.586396858E-3,2.634024471E-2,-2.435381107E0,2.435535361E0
5.966419585E-1,-1.185822643E-2,-2.016704679E-2,-2.506892554E0,2.507001716E0
6.066669584E-1,-5.182558995E-2,-1.611872703E-2,-2.574280545E0,2.574852623E0
6.166919584E-1,-1.248254827E-1,1.246041656E-2,-2.571977912E0,2.575035347E0
6.267169584E-1,-1.726493479E-1,-2.472699791E-2,-2.542740079E0,2.548714643E0
6.367419583E-1,-1.852191073E-1,-9.792215109E-2,-2.531671885E0,2.540326238E0
6.467669583E-1,-1.608882583E-1,-6.688454568E-2,-2.542060048E0,2.548024306E0
6.567929585E-1,-2.122367520E-1,8.081173629E-2,-2.435843037E0,2.446406809E0
6.668179585E-1,-3.033891430E-1,1.904031757E-1,-2.271640942E0,2.299706701E0
6.768429584E-1,-2.914418927E-1,1.476693848E-1,-2.177589063E0,2.201962477E0
6.868679584E-1,-2.458761491E-1,-1.832634330E-2,-2.038573265E0,2.053429301E0
6.968929584E-1,-2.226891616E-1,-1.282095587E-1,-2.029052244E0,2.045258214E0
7.069179583E-1,-2.289828853E-1,-2.127012402E-1,-1.937060924E0,1.962111108E0
7.169429583E-1,-1.763311934E-1,-2.697987163E-1,-1.958303858E0,1.984650608E0
7.269679585E-1,-1.341042099E-1,-2.328796890E-1,-2.017057850E0,2.034880650E0
7.369929585E-1,-9.978573181E-2,-1.239039615E-1,-1.898696757E0,1.905350036E0
7.470179584E-1,-1.339718436E-1,5.807805419E-2,-1.823360646E0,1.829198065E0
7.570429584E-1,-1.573894306E-1,2.043873766E-1,-1.739058414E0,1.758086972E0
7.670679584E-1,-2.789891506E-1,3.492962909E-1,-1.533901252E0,1.597715837E0
7.770929583E-1,-4.022991811E-1,4.933421561E-1,-1.416105584E0,1.552606241E0
7.871179583E-1,-4.855687945E-1,5.368919259E-1,-1.204583727E0,1.405365415E0
7.971429585E-1,-5.296320961E-1,6.091316441E-1,-7.244986707E-1,1.084642725E0
8.071679585E-1,-3.586157294E-1,6.209664086E-1,5.037727118E-2,7.188479612E-1
8.171929584E-1,-4.866162501E-2,5.726388788E-1,1.273542280E0,1.397209068E0
8.272179584E-1,1.748194689E-1,6.820546094E-1,3.076814817E0,3.156350702E0
8.372439584E-1,2.576213781E-1,1.055336764E0,4.894601896E0,5.013704437E0
8.472689583E-1,2.150733459E-1,1.539782966E0,6.205226049E0,6.397032003E0
8.572939583E-1,2.301127866E-1,1.905444151E0,7.287034035E0,7.535551362E0
8.673189583E-1,3.625067225E-1,2.012883815E0,7.786348245E0,8.050486405E0
8.773439585E-1,5.908939592E-1,1.851280516E0,8.104885842E0,8.334600754E0
8.873689584E-1,6.353892969E-1,2.020856494E0,8.091333166E0,8.364045249E0
8.973939584E-1,4.454898588E-1,2.677571317E0,8.217600864E0,8.654294503E0
9.074189584E-1,2.571959749E-1,3.539571065E0,8.722404440E0,9.416743190E0
9.174439583E-1,-1.212119125E-1,4.336849444E0,9.462416359E0,1.040962433E1
9.274689583E-1,-2.956194359E-1,4.450117320E0,1.002835140E1,1.097537092E1
9.374939583E-1,-2.029331741E-1,3.783073098E0,1.021481210E1,1.089473313E1
9.475189585E-1,-3.615084931E-2,3.280718921E0,1.047681647E1,1.097852936E1
9.575439584E-1,1.205290856E-1,2.930749031E0,1.087093284E1,1.125970683E1
9.675689584E-1,2.994582792E-1,2.615515987E0,1.131308759E1,1.161535837E1
9.775939584E-1,5.534939253E-1,2.673951891E0,1.206579967E1,1.237092946E1
9.876189583E-1,6.465418375E-1,2.799493073E0,1.303301801E1,1.334596330E1
9.976439583E-1,2.922923702E-1,3.164439144E0,1.376916258E1,1.413113400E1
1.007668958E0,7.060330175E-2,3.254508484E0,1.335528496E1,1.374628847E1
1.017693958E0,3.168013401E-1,2.651177863E0,1.227169884E1,1.255880964E1
1.027719958E0,7.267486062E-1,2.068949550E0,1.078294160E1,1.100366054E1
1.037744958E0,1.283597445E0,1.552996504E0,9.124266615E0,9.344070944E0
1.047769958E0,1.799780287E0,7.140426797E-1,7.819025409E0,8.055198593E0
1.057794958E0,1.798947351E0,2.429100028E-1,6.936773538E0,7.170358705E0
1.067819958E0,1.607111023E0,1.496805346E-1,5.978697313E0,6.192740239E0
1.077844958E0,1.172176411E0,2.442674339E-2,5.278365769E0,5.407008360E0
1.087869958E0,7.168645459E-1,1.595126277E-1,4.520863659E0,4.580125247E0
1.097894958E0,2.390515713E-1,3.675179690E-1,3.210434219E0,3.240231934E0
1.107919958E0,-4.400124065E-1,6.604690281E-1,1.256260250E0,1.485940803E0
1.117944958E0,-6.981957020E-1,7.575468412E-1,-1.104020973E0,1.510038663E0
1.127969958E0,-6.435073518E-1,3.137729940E-1,-3.519170714E0,3.591255730E0
1.137994958E0,-7.148652367E-1,-5.068059549E-1,-5.677207857E0,5.744438496E0
1.148019958E0,-1.070225602E0,-1.264279706E0,-7.301402398E0,7.486939494E0
1.158044958E0,-1.547798329E0,-1.806185035E0,-8.199867429E0,8.537904303E0
1.168069958E0,-2.153894099E0,-1.911115951E0,-8.293705884E0,8.779361096E0
1.178094958E0,-2.401622792E0,-1.845972998E0,-8.181057521E0,8.723824305E0
1.188119958E0,-2.277809755E0,-2.165868612E0,-8.043315831E0,8.635643211E0
1.198144958E0,-2.216945210E0,-2.391886301E0,-8.019865572E0,8.657609944E0
1.208169958E0,-2.233420032E0,-2.428670550E0,-8.154594192E0,8.796818295E0
1.218195958E0,-2.003141331E0,-2.558705902E0,-8.381985977E0,8.989840933E0
1.228220958E0,-1.519358934E0,-2.586820776E0,-8.638141969E0,9.144265415E0
1.238245958E0,-9.167253006E-1,-2.565594799E0,-8.807978441E0,9.219715081E0
1.248270958E0,-5.387829886E-1,-2.751947023E0,-8.915674213E0,9.346269106E0
1.258295958E0,-4.176397169E-1,-2.942820023E0,-8.610525570E0,9.109103315E0
1.268320958E0,-4.246129601E-1,-3.077274992E0,-8.135700084E0,8.708589633E0
1.278345958E0,-6.675371423E-1,-3.056920835E0,-7.763992000E0,8.370779092E0
1.288370958E0,-9.800958158E-1,-2.943324637E0,-7.483862423E0,8.101354486E0
1.298395958E0,-1.148544670E0,-2.828123087E0,-7.217736343E0,7.836654450E0
1.308420958E0,-1.194119550E0,-2.744895574E0,-7.348630943E0,7.934907054E0
1.318445958E0,-9.940704419E-1,-2.729529676E0,-7.488137907E0,8.031856424E0
1.328470958E0,-8.281194451E-1,-2.712794652E0,-7.806053946E0,8.305390710E0
1.338495958E0,-8.490768892E-1,-2.659686731E0,-8.165830786E0,8.629928012E0
1.348520958E0,-8.459210739E-1,-2.669895970E0,-8.423487759E0,8.876884193E0
1.358545958E0,-8.163301427E-1,-2.816507301E0,-8.445793718E0,8.940388123E0
1.368570958E0,-7.226509506E-1,-2.993170104E0,-8.432850321E0,8.977430379E0
1.378595958E0,-5.582361634E-1,-3.039838487E0,-8.389853405E0,8.941022637E0
1.388620958E0,-3.749670294E-1,-3.139629408E0,-8.371419473E0,8.948661190E0
1.398645958E0,-3.292346402E-1,-3.112692455E0,-8.515003116E0,9.072074065E0
1.408670958E0,-4.617506732E-1,-3.014107229E0,-8.703581668E0,9.222276830E0
1.418695958E0,-6.543464085E-1,-3.027153829E0,-8.838771633E0,9.365666741E0
1.428721958E0,-7.687806581E-1,-3.107792488E0,-9.114711095E0,9.660608480E0
1.438746958E0,-8.814851551E-1,-3.180843215E0,-9.261952756E0,9.832525031E0
1.448771958E0,-9.307424652E-1,-3.110856137E0,-9.428790191E0,9.972251095E0
1.458796958E0,-8.095369206E-1,-3.148327726E0,-9.921574230E0,1.044054370E1
1.468821958E0,-7.217478481E-1,-3.288170612E0,-1.065599153E1,1.117511259E1
1.478846958E0,-7.424683338E-1,-3.209685776E0,-1.137553586E1,1.184297927E1
1.488871958E0,-8.191092512E-1,-3.178967721E0,-1.178860656E1,1.223715736E1
1.498896958E0,-9.615382882E-1,-3.427306571E0,-1.165400366E1,1.218551548E1
1.508921958E0,-1.059170491E0,-3.564026459E0,-1.059812047E1,1.123139725E1
1.518946958E0,-7.883440530E-1,-3.530357022E0,-8.558605803E0,9.291643576E0
1.528971958E0,-4.596551773E-1,-3.103202716E0,-6.536957889E0,7.250721924E0
1.538996958E0,-1.169607583E-1,-3.045043678E0,-4.320875435E0,5.287337265E0
1.549021958E0,1.479543635E-1,-2.205624123E0,-3.176727945E0,3.870176831E0
1.559046958E0,1.413397738E-1,-4.917160454E-1,-2.685425590E0,2.733728626E0
1.569071958E0,-1.983186977E-1,1.056718168E0,-1.966291739E0,2.241045916E0
1.579097208E0,-4.541093856E-3,2.218821874E0,-7.510649103E-1,2.342496452E0
1.589122208E0,6.238827074E-1,2.862745913E0,1.423553767E0,3.257460533E0
1.599147209E0,8.907113305E-1,3.407647355E0,3.700556021E0,5.108771088E0
1.609172208E0,9.417842741E-1,4.076050470E0,5.399687308E0,6.830649169E0
1.619197208E0,1.224232711E0,3.489560414E0,7.609514995E0,8.460525756E0
1.629223208E0,1.302888871E0,2.374303431E0,9.126704319E0,9.520061340E0
1.639248208E0,1.185672078E0,1.947981768E0,1.068723087E1,1.092782480E1
1.649273208E0,7.967877978E-1,2.411927340E0,1.229089993E1,1.255063685E1
1.659298208E0,1.022323676E0,2.699201630E0,1.310762147E1,1.342164579E1
1.669323208E0,1.304509280E0,3.079286435E0,1.412761210E1,1.451802925E1
1.679348208E0,1.476563163E0,4.016085811E0,1.545779285E1,1.603909424E1
1.689373208E0,1.662289735E0,4.254563332E0,1.559876455E1,1.625379868E1
1.699398208E0,1.549479403E0,3.948993397E0,1.463936743E1,1.524160471E1
1.709423208E0,1.221278551E0,3.994830013E0,1.327545059E1,1.391717559E1
1.719448208E0,7.790298770E-1,4.253173449E0,1.157516799E1,1.235641072E1
1.729473208E0,4.589786544E-2,4.587114367E0,1.009001614E1,1.108386893E1
1.739498208E0,-7.473935898E-1,4.949378028E0,8.954499140E0,1.025855715E1
1.749523208E0,-1.512161011E0,5.061029441E0,8.066533955E0,9.642075501E0
1.759548208E0,-1.995715952E0,4.984973538E0,7.688083447E0,9.377604727E0
1.769573208E0,-2.224331997E0,4.746593958E0,7.659803973E0,9.281724190E0
1.779598208E0,-2.112216607E0,4.200597040E0,7.687146723E0,9.011032084E0
1.789623208E0,-1.806803962E0,3.316387229E0,7.681832773E0,8.559995302E0
1.799648208E0,-1.494234033E0,2.546174734E0,7.501171936E0,8.061223327E0
1.809673208E0,-1.114693604E0,1.966779105E0,7.066394615E0,7.419211193E0
1.819698208E0,-4.378017935E-1,1.489948024E0,6.345391409E0,6.532657014E0
1.829723208E0,3.497221144E-1,1.323332199E0,5.329979142E0,5.502925705E0
1.839748208E0,1.137724909E0,1.344059993E0,4.307793460E0,4.653815610E0
1.849774208E0,1.800021923E0,1.412362781E0,3.081166899E0,3.837764585E0
1.859799208E0,2.086132617E0,1.421214296E0,1.646106981E0,3.013547339E0
1.869824208E0,1.966434558E0,1.461490210E0,4.687256706E-1,2.494498398E0
1.879849208E0,1.683419234E0,1.446562853E0,-4.766708672E-1,2.270167289E0
1.889874208E0,1.370337234E0,1.231401397E0,-1.248579932E0,2.225561813E0
1.899899208E0,1.146249273E0,7.317059487E-1,-1.681130633E0,2.162286104E0
1.909924208E0,9.078256921E-1,2.292479834E-1,-1.861385089E0,2.083616226E0
1.919949208E0,6.721791007E-1,-3.468477693E-1,-1.871322432E0,2.018409216E0
1.929974208E0,2.164273784E-1,-8.538668552E-1,-1.792120142E0,1.996903608E0
1.939999208E0,-3.848276277E-1,-9.371747679E-1,-1.804288782E0,2.069262395E0
1.950024208E0,-7.824309830E-1,-9.449080029E-1,-2.039880118E0,2.380369776E0
1.960049208E0,-7.801424559E-1,-1.154004727E0,-2.440114428E0,2.809716637E0
1.970074208E0,-6.786532109E-1,-1.125552468E0,-2.935367162E0,3.216180796E0
1.980099208E0,-5.467600525E-1,-8.425329047E-1,-3.241345525E0,3.393394917E0
1.990124208E0,-3.904693868E-1,-8.326592964E-1,-3.573561514E0,3.690004030E0
2.000149208E0,-2.208906312E-1,-1.007212717E0,-3.764523391E0,3.903191834E0
2.010174208E0,-1.298765268E-1,-1.086658251E0,-3.884049835E0,4.035286506E0
2.020199208E0,-8.976762414E-2,-1.233299111E0,-4.059080388E0,4.243255651E0
2.030224208E0,-1.675599314E-1,-1.381918083E0,-4.291507795E0,4.511630866E0
2.040249208E0,-2.937126589E-1,-1.318539821E0,-4.369989123E0,4.574015667E0
2.050274208E0,-5.569268256E-1,-1.166522739E0,-4.479769428E0,4.662539749E0
2.060299208E0,-8.753455786E-1,-9.357144257E-1,-4.476828278E0,4.656584886E0
2.070324208E0,-9.557423088E-1,-6.422564131E-1,-4.326644298E0,4.477252232E0
2.080349208E0,-7.833309426E-1,-6.662256119E-1,-3.983318015E0,4.113913749E0
2.090375208E0,-4.768057917E-1,-8.545521489E-1,-3.459107530E0,3.594861339E0
2.100400208E0,-1.374838275E-1,-9.349177426E-1,-2.356521463E0,2.538930168E0
2.110425208E0,1.886256952E-1,-1.167450692E0,-9.537896311E-1,1.519287804E0
2.120450208E0,4.429983602E-1,-1.540077081E0,-3.176909208E-2,1.602839430E0
2.130475208E0,5.123223643E-1,-1.741561022E0,1.321932667E-1,1.820160449E0
2.140500208E0,3.004623923E-1,-1.587981272E0,-8.566580236E-2,1.618425407E0
2.150525208E0,-2.151605791E-1,-1.057653723E0,-1.846615022E-1,1.095000156E0
2.160550208E0,-5.560149524E-1,-5.716071376E-1,-4.732806516E-1,9.272981841E-1
2.170575208E0,-7.151842023E-1,-3.869839346E-1,-6.854421937E-1,1.063520573E0
2.180600208E0,-7.273056997E-1,-2.259326121E-1,-5.962078357E-1,9.672036545E-1
2.190625208E0,-4.705114102E-1,-9.738859266E-2,-1.765514141E-1,5.118944491E-1
2.200650208E0,-4.749408223E-2,-3.376986310E-1,5.078862280E-1,6.117552401E-1
2.210675208E0,2.736423835E-1,-8.128085840E-1,1.118498095E0,1.409459448E0
2.220700208E0,5.630793390E-1,-1.172666700E0,1.583136562E0,2.049030723E0
2.230725208E0,7.277098154E-1,-1.279180458E0,1.664638562E0,2.221910385E0
2.240750208E0,7.236603992E-1,-1.176463882E0,1.439297980E0,1.994825886E0
2.250775208E0,6.513793851E-1,-9.329954705E-1,1.163708181E0,1.627572543E0
2.260800208E0,4.509434107E-1,-5.619875908E-1,6.448736268E-1,9.669757011E-1
2.270825208E0,2.746970019E-1,-1.119861665E-1,9.964824915E-2,3.129362841E-1
2.280850208E0,1.432482685E-1,2.701282069E-1,-3.354535925E-1,4.538925284E-1
2.290875208E0,2.055179358E-2,6.026248625E-1,-6.785185057E-1,9.077259849E-1
2.300900208E0,-5.363146596E-2,7.878208002E-1,-9.402024561E-1,1.227810493E0
2.310925208E0,-8.470159650E-2,8.018579185E-1,-1.144467334E0,1.399984271E0
2.320950208E0,-1.354376674E-1,7.330054924E-1,-1.196729162E0,1.409894004E0
2.330976208E0,-1.906855962E-1,6.168733576E-1,-1.179875148E0,1.344990372E0
2.341001208E0,-1.630995291E-1,4.494579256E-1,-1.013778555E0,1.120875034E0
2.351026208E0,-8.447472453E-2,3.838854951E-1,-9.036006403E-1,9.853923937E-1
2.361051208E0,1.070201994E-1,3.659561777E-1,-8.268664598E-1,9.105412618E-1
2.371076208E0,2.365987375E-1,4.307371876E-1,-7.171756178E-1,8.693988464E-1
2.381101208E0,3.766849414E-1,4.950141674E-1,-6.075157660E-1,8.694860418E-1
2.391126208E0,4.417571425E-1,3.797781184E-1,-5.305465275E-1,7.879469589E-1
2.401151208E0,3.664561877E-1,3.241930246E-1,-3.337707639E-1,5.922788005E-1
2.411176208E0,2.341537242E-1,3.158256590E-1,-8.107632279E-2,4.014314183E-1
2.421201208E0,1.100248642E-1,2.168910626E-1,1.644213653E-1,2.935670096E-1
2.431226208E0,6.749908805E-2,1.610188705E-1,3.227575332E-1,3.669545323E-1
2.441251208E0,5.843444198E-2,2.377919349E-1,3.907793623E-1,4.611595151E-1
2.451276208E0,7.477762900E-2,3.961365813E-1,2.006331718E-1,4.502994054E-1
2.461301208E0,1.727657074E-1,5.279968491E-1,-1.070321131E-1,5.657601396E-1
2.471326208E0,2.304115793E-1,6.362872830E-1,-4.344066077E-1,8.041517912E-1
2.481351208E0,2.803805687E-1,7.304335946E-1,-6.750312263E-1,1.033350694E0
2.491376208E0,2.895155275E-1,7.622474179E-1,-8.236341190E-1,1.158970892E0
2.501401208E0,2.437275897E-1,6.811816201E-1,-8.679519206E-1,1.129934544E0
2.511426208E0,1.582461939E-1,5.443243217E-1,-7.418397582E-1,9.336257558E-1
2.521451208E0,3.489939898E-2,3.991765487E-1,-6.157293499E-1,7.346308715E-1
2.531476208E0,-7.691719830E-2,2.489712265E-1,-5.111647618E-1,5.737528568E-1
2.541501208E0,-1.569296202E-1,7.788900554E-2,-4.304503816E-1,4.647377044E-1
