"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.097916609E-3,-4.175969737E0,1.478765516E0,-7.173388282E-1,4.487766225E0
1.812291658E-2,-4.437372437E0,1.613056764E0,-6.499331494E-1,4.765987764E0
2.814691653E-2,-4.665740706E0,1.794823310E0,-6.599576890E-1,5.042427114E0
3.817191650E-2,-4.730364718E0,1.867861465E0,-6.999257469E-1,5.133726996E0
4.819691670E-2,-4.689017887E0,1.680514337E0,-6.315881681E-1,5.020948197E0
5.822091666E-2,-4.428548988E0,1.402783288E0,-5.354201087E-1,4.676165286E0
6.824591663E-2,-3.963433973E0,1.017230167E0,-3.058057972E-1,4.103301507E0
7.826991659E-2,-3.401961522E0,7.261996257E-1,-4.171279393E-2,3.478857291E0
8.829491655E-2,-2.803975548E0,2.538960439E-1,-1.522147179E-1,2.819558724E0
9.831891651E-2,-2.248296518E0,1.107784241E-1,-1.650049905E-1,2.257063522E0
1.083439167E-1,-2.081101234E0,2.225573069E-1,-4.492275453E-1,2.140635300E0
1.183679167E-1,-2.049599944E0,3.083470702E-1,-7.722848944E-1,2.211868397E0
1.283929166E-1,-1.851085804E0,2.610553747E-1,-6.984651124E-1,1.995625735E0
1.384169166E-1,-1.763125554E0,-1.775448561E-2,-6.956350601E-1,1.895477533E0
1.484419166E-1,-1.590799338E0,-2.252850330E-1,-6.189745545E-1,1.721779712E0
1.584659165E-1,-1.291076910E0,-5.817815852E-1,-5.603000844E-1,1.522920085E0
1.684909167E-1,-7.966509730E-1,-1.071678270E0,-5.280317131E-1,1.435954239E0
1.785159167E-1,-1.249789721E-1,-1.492458526E0,-5.137574172E-1,1.583350523E0
1.885358333E-1,6.036770689E-1,-1.877024052E0,-5.700322632E-1,2.052457570E0
1.985608332E-1,1.069093800E0,-2.051077536E0,-6.040887129E-1,2.390565578E0
2.085848332E-1,1.346065296E0,-2.220520490E0,-6.308045682E-1,2.672174663E0
2.186098334E-1,1.536934202E0,-2.449113877E0,-1.271219766E0,3.158532131E0
2.286338334E-1,1.638512033E0,-2.419797692E0,-1.266480013E0,3.184982602E0
2.386588333E-1,1.651453675E0,-2.436305552E0,-9.779911105E-1,3.101507794E0
2.486828333E-1,1.656919068E0,-2.543941682E0,-9.033630972E-1,3.167504532E0
2.587078332E-1,1.803806387E0,-2.719995498E0,-9.906341064E-1,3.410784210E0
2.687318332E-1,2.040115761E0,-3.178834112E0,-9.208159395E-1,3.887796371E0
2.787568332E-1,2.421315629E0,-3.516558178E0,-5.585084975E-1,4.305912509E0
2.887808334E-1,2.772143891E0,-3.591433529E0,-2.968374109E-1,4.546568925E0
2.988058333E-1,2.958429165E0,-3.525530730E0,-2.480577452E-1,4.609034899E0
3.088308333E-1,2.894490446E0,-3.190934340E0,-1.958337772E-1,4.312596407E0
3.188548333E-1,2.480318128E0,-2.479593074E0,-1.271874654E-1,3.509492340E0
3.288798332E-1,1.698936574E0,-1.480482844E0,-1.506812856E-2,2.253539878E0
3.389038332E-1,8.694873995E-1,-6.027877074E-1,2.451597921E-1,1.086031621E0
3.489288334E-1,3.440776509E-1,-4.758464098E-2,5.591576115E-1,6.582635965E-1
3.589528333E-1,2.530902976E-1,-2.204166412E-2,6.128887725E-1,6.634554854E-1
3.689778333E-1,4.787822968E-1,-3.414189219E-1,2.902674794E-1,6.557854661E-1
3.790018333E-1,7.828351718E-1,-7.857921088E-1,-1.278528055E-1,1.116533244E0
3.890268332E-1,1.052653769E0,-1.392920204E0,-2.443843051E-1,1.762960675E0
3.990508332E-1,1.137641879E0,-1.751253952E0,-2.787905645E-1,2.106856337E0
4.090758334E-1,1.050853411E0,-2.100739108E0,-3.909776560E-1,2.381231030E0
4.190998334E-1,8.337001008E-1,-2.195805479E0,-3.067658369E-1,2.368696443E0
4.291248333E-1,5.741673410E-1,-2.094271502E0,-1.177417271E-1,2.174742370E0
4.391498333E-1,1.240077496E-1,-2.016452664E0,3.202403069E-2,2.020515975E0
4.491738332E-1,-4.298650753E-1,-1.911177639E0,1.825477338E-1,1.967411402E0
4.591988332E-1,-9.959971726E-1,-1.494549490E0,3.406061590E-1,1.828032030E0
4.692228332E-1,-1.597912475E0,-9.755693400E-1,5.368750421E-1,1.947638218E0
4.792478334E-1,-2.137842030E0,-4.558886933E-1,8.311314920E-1,2.338585599E0
