"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
4.475404159E-2;-5.731703907E-2;3.898093092E-1;1.985609770E0;2.024322776E0
5.473804160E-2;-1.706866568E-1;1.467294449E-1;2.230689383E0;2.242016634E0
6.472204160E-2;-1.426328856E-1;1.185818258E-1;2.135558692E0;2.143599010E0
7.470604160E-2;3.495494753E-2;3.703722873E-1;1.806960375E0;1.844858606E0
8.469004161E-2;2.579402706E-1;6.071497303E-1;1.400474222E0;1.548060731E0
9.467404161E-2;5.152034336E-1;7.607546237E-1;1.084539220E0;1.421410390E0
1.046580416E-1;8.018500248E-1;9.430149668E-1;9.664114308E-1;1.570411329E0
1.146430416E-1;1.220872316E0;1.372071372E0;1.164441422E0;2.174633966E0
1.246270416E-1;1.470401659E0;1.671043017E0;1.466667042E0;2.665629010E0
1.346110416E-1;9.770232502E-1;1.201936985E0;1.445322951E0;2.118533781E0
1.445950416E-1;8.224135128E-1;8.057293600E-1;2.083915499E0;2.380812381E0
1.545790416E-1;1.060295787E0;5.670199969E-1;3.358992088E0;3.567711687E0
1.645630416E-1;1.154780653E0;3.225160432E-1;4.324722903E0;4.487846159E0
1.745470416E-1;1.132403943E0;1.692418098E-1;4.636174845E0;4.775468425E0
1.845310417E-1;1.091953782E0;2.984775549E-1;4.516844283E0;4.656536717E0
1.945150417E-1;9.960202691E-1;6.406972530E-1;3.940018798E0;4.114158173E0
2.045000417E-1;1.010438626E0;9.956103793E-1;3.001536593E0;3.319856648E0
2.144840417E-1;1.116359183E0;1.132846870E0;2.050200453E0;2.594787420E0
2.244680417E-1;1.111168610E0;1.115991101E0;1.414047364E0;2.116521147E0
2.344520417E-1;9.072759077E-1;8.948587605E-1;1.546658122E0;2.004014251E0
2.444360417E-1;3.991955522E-1;5.202981126E-1;2.502573216E0;2.587071687E0
2.544200417E-1;-5.577395886E-2;2.738534680E-1;3.375579470E0;3.387129052E0
2.644040417E-1;-2.719241792E-1;2.009802040E-1;3.679235904E0;3.694741214E0
2.743880416E-1;-3.270093361E-1;3.445851892E-1;3.624584318E0;3.655582790E0
2.843720416E-1;-4.091717792E-1;5.995430875E-1;3.302717900E0;3.381540919E0
2.943570416E-1;-2.420779440E-1;7.088029897E-1;3.326452918E0;3.409734949E0
3.043410416E-1;-1.306007776E-1;7.561028713E-1;3.088826752E0;3.182703068E0
3.143250416E-1;9.380921960E-2;4.408318207E-1;2.765161731E0;2.801651702E0
3.243090416E-1;1.490051812E-1;2.873175591E-2;2.252638661E0;2.257744227E0
3.342930416E-1;4.378915483E-1;-4.894791931E-1;1.090365971E0;1.272885242E0
3.442770416E-1;1.023808284E0;-1.049719343E0;-6.323851436E-1;1.596873531E0
3.542610416E-1;1.423670712E0;-1.494036689E0;-2.333074713E0;3.114838927E0
3.642450416E-1;1.910097366E0;-2.954296353E0;-2.940318584E0;4.584954990E0
3.742290416E-1;-1.343754769E0;-8.025906916E0;1.984611183E1;2.144968563E1
3.842140416E-1;-4.714398896E0;-8.769657544E0;1.150360157E1;1.521398369E1
