"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
3.161579161E-2;-7.925783873E-1;-1.170220810E-1;-6.171595788E-1;1.011316277E0
4.159979161E-2;-7.850208610E-1;-2.263629672E-1;-8.281008071E-1;1.163292264E0
5.158379162E-2;-9.126685023E-1;-2.649905509E-1;-1.020647280E0;1.394598385E0
6.156779162E-2;-1.136870046E0;-2.479932797E-1;-1.007862927E0;1.539403082E0
7.155079162E-2;-1.381322545E0;-2.274704298E-1;-9.180532032E-1;1.674101685E0
8.153479162E-2;-1.660898390E0;-1.958156508E-1;-7.437132061E-1;1.830310510E0
9.151879163E-2;-1.841411000E0;-1.058749491E-1;-5.238450336E-1;1.917398654E0
1.015027916E-1;-1.813087673E0;-3.762800217E-2;-3.029594457E-1;1.838610127E0
1.114867916E-1;-1.678883841E0;-6.975874454E-2;-1.040354151E-1;1.683549999E0
1.214707916E-1;-1.460975070E0;-1.907528391E-1;6.605599523E-3;1.473390117E0
1.314547916E-1;-1.152034215E0;-2.923888493E-1;8.244866431E-2;1.191415903E0
1.414377916E-1;-8.404986584E-1;-3.332144013E-1;1.658153415E-2;9.042924191E-1
1.514217916E-1;-6.745254421E-1;-3.004965985E-1;-5.338449419E-2;7.403598328E-1
1.614057916E-1;-6.537821522E-1;-1.821363822E-1;-1.326879412E-1;6.915279127E-1
1.713897916E-1;-7.071622610E-1;-6.709446073E-2;-4.625241137E-1;8.476489166E-1
1.813737917E-1;-8.055556977E-1;-1.823746562E-3;-7.587458128E-1;1.106624831E0
1.913577917E-1;-9.179570165E-1;1.377121612E-2;-9.269257683E-1;1.304617228E0
2.013417917E-1;-8.689377612E-1;-6.394748926E-2;-1.222825871E0;1.501481010E0
2.113247917E-1;-5.916312200E-1;-3.000909479E-1;-1.619336089E0;1.749951841E0
2.213087917E-1;-2.459069932E-1;-4.604483521E-1;-1.843973835E0;1.916434825E0
2.312927917E-1;-1.415099278E-1;-2.711672571E-1;-1.985671166E0;2.009091019E0
2.412767917E-1;-1.054387468E-1;5.274466261E-2;-1.952412204E0;1.955968492E0
2.512607917E-1;-1.181690124E-1;3.353742166E-1;-1.790811535E0;1.825772641E0
2.612447917E-1;-2.382784232E-1;5.182901788E-1;-1.685765136E0;1.779664410E0
2.712287917E-1;-5.421438950E-1;5.011771327E-1;-1.711239701E0;1.863716672E0
2.812127917E-1;-7.716251823E-1;3.242751780E-1;-1.646633230E0;1.847149374E0
2.911957917E-1;-8.170986861E-1;-1.632514836E-1;-8.369897443E-1;1.181039009E0
3.011797917E-1;-8.785482448E-1;1.964952435E-1;-9.150915885E-1;1.283686104E0
3.111637917E-1;-2.443215206E-1;4.182093818E-1;-1.844424071E0;1.906958900E0
3.211477917E-1;5.329070485E-1;-3.683511972E-2;-1.088674956E0;1.212666446E0
3.311317917E-1;-1.677475539E-1;1.917594373E-2;-2.646332860E-1;3.139072072E-1
3.411157917E-1;-2.347429043E-1;3.371457767E-1;-3.068577844E-1;5.127701295E-1
3.510997917E-1;-3.570090607E-1;6.253662921E-1;7.017436463E-1;1.005476312E0
3.610827917E-1;-7.261171800E-1;5.174315152E-1;1.707357734E0;1.926149518E0
3.710667917E-1;-1.285995680E0;-3.142843330E-1;1.453551738E0;1.966054980E0
3.810507917E-1;-9.363229747E-1;-9.442551613E-1;-3.966224849E-2;1.330372736E0
3.910347916E-1;3.606203011E-1;-1.105699709E0;-1.237118804E0;1.697964012E0
4.010187916E-1;2.302064736E0;-1.166134776E0;-1.920897465E0;3.217020273E0
4.110027916E-1;2.833795471E0;-5.891927849E-1;-3.439932756E0;4.495629241E0
4.209867916E-1;2.919557460E0;-3.784467074E-1;-3.189380735E0;4.340413246E0
4.309707916E-1;2.650997476E0;-8.037018380E-1;-1.924052038E0;3.372788240E0
4.409547916E-1;2.037275768E0;-1.298072373E0;-8.492057472E-1;2.560592674E0
4.509377916E-1;1.635333925E0;-1.616442010E0;2.736672342E-2;2.299554468E0
4.609217916E-1;1.200904367E0;-1.739589634E0;1.056945040E0;2.363361210E0
4.709057916E-1;7.065556124E-1;-1.670893036E0;1.032422403E0;2.087342901E0
4.808897916E-1;5.873557359E-1;-1.682336329E0;1.201550192E-1;1.785967389E0
4.908737916E-1;6.434071451E-1;-1.502189462E0;-5.651380706E-1;1.729140530E0
5.008577916E-1;6.529173490E-1;-9.033787385E-1;-5.149046409E-1;1.227811467E0
5.108417916E-1;6.989241189E-1;-4.024185374E-1;3.476865524E-1;8.782491343E-1
5.208257916E-1;4.878068894E-1;-1.332077587E-1;1.172390712E0;1.276792798E0
5.308097916E-1;8.766028762E-2;-5.989010632E-3;1.852318981E0;1.854401737E0
5.407937916E-1;-2.378682411E-1;-1.115321302E-1;2.232638844E0;2.248042910E0
5.507767916E-1;-1.476188064E-1;-3.732008779E-1;2.665074940E0;2.695124236E0
5.607607916E-1;-4.890026450E-3;-3.560762836E-1;2.730516978E0;2.753640717E0
5.707447917E-1;3.979731917E-2;-1.918085539E-1;2.346789942E0;2.354951673E0
5.807287917E-1;1.617018253E-1;-1.569794677E-1;2.115296921E0;2.127268459E0
5.907127917E-1;5.424542360E-1;-3.356325173E-1;1.659016464E0;1.777425501E0
6.006967917E-1;5.152961120E-1;-1.626579912E-1;1.141066593E0;1.262545316E0
6.106807917E-1;5.476842780E-1;2.806474940E-1;1.319136529E0;1.455624356E0
6.206647917E-1;7.317769924E-1;6.945009926E-1;1.460695866E0;1.775235648E0
6.306487917E-1;6.194661592E-1;1.007391057E0;1.974946788E0;2.301953492E0
6.406327917E-1;4.150420913E-1;1.148537873E0;2.524408473E0;2.804289094E0
6.506167917E-1;1.250514045E-1;1.141163072E0;2.991334956E0;3.204056152E0
6.605997917E-1;-4.977040328E-2;1.041966959E0;3.188920559E0;3.355202910E0
6.705837917E-1;-4.516879074E-2;8.726625837E-1;2.458816747E0;2.609475043E0
6.805677917E-1;4.325974427E-1;6.528518602E-1;1.102307155E0;1.352197161E0
6.905517917E-1;4.769930853E-1;5.616890904E-1;1.143813030E0;1.360634148E0
7.005363749E-1;-1.884331025E-2;7.951102316E-1;1.577016866E0;1.766221262E0
7.105203749E-1;-6.600271247E-1;1.032700438E0;1.546425403E0;1.973204887E0
7.205043749E-1;-1.401939096E0;8.835603319E-1;1.056399495E0;1.965220594E0
7.304883749E-1;-1.055963073E0;4.031861307E-1;3.482373601E-1;1.182745250E0
7.404723749E-1;-1.044833118E0;5.925546415E-1;-5.494488215E-1;1.320867614E0
7.504563750E-1;-1.719761579E0;1.067257190E0;1.760011911E-3;2.024011091E0
7.604403750E-1;-2.090488354E0;1.454571784E0;-7.983519280E-1;2.668948564E0
7.704243750E-1;-2.112675029E0;1.721482122E0;-2.524880928E0;3.715093563E0
7.804083750E-1;-2.173834858E0;2.042625970E0;-4.357518767E0;5.280705317E0
7.903913750E-1;-1.676743906E0;2.841337502E0;-3.995864385E0;5.181853058E0
8.003753750E-1;-9.672798885E-1;3.766449464E0;3.192977357E-1;3.901758961E0
8.103593750E-1;-6.572606608E-2;2.797279902E0;1.412911250E0;3.134551477E0
8.203433750E-1;8.218627051E-2;1.351484203E0;1.935176951E-1;1.367740192E0
8.303273750E-1;-1.510730490E-2;8.065226079E-1;9.775024295E-1;1.267366540E0
8.403113750E-1;-5.385943428E-2;1.136513074E0;1.309676903E0;1.734882243E0
8.502953750E-1;-2.974404050E-1;1.629234548E0;9.547134912E-1;1.911636434E0
8.602793750E-1;-5.490915567E-1;1.611257283E0;1.958361161E-1;1.713476978E0
8.702633750E-1;-2.339055830E-1;1.099888381E0;-4.299159461E-1;1.203866269E0
8.802473750E-1;2.506277427E-2;1.223731458E0;-1.074496627E0;1.628708024E0
8.902313750E-1;3.340087456E-1;1.614282633E0;-1.282924722E0;2.088867182E0
9.002153750E-1;5.153335342E-1;1.696589210E0;-1.198851117E0;2.140380246E0
9.101993750E-1;6.295954370E-1;1.770165601E0;-1.626894200E0;2.485288999E0
9.201833750E-1;7.618024448E-1;1.906881251E0;-2.673478559E0;3.371057204E0
9.301673750E-1;5.570197964E-1;2.025590692E0;-3.507965695E0;4.088901077E0
9.401513750E-1;7.749271050E-2;1.957020102E0;-3.129782989E0;3.692082659E0
9.501343750E-1;-5.343210514E-1;1.894017669E0;-2.213955236E0;2.962161323E0
9.601183750E-1;-1.343576429E0;1.575014340E0;-1.932884842E0;2.832297937E0
9.701023750E-1;-2.433338382E0;3.161771498E-1;-1.937357377E0;3.126412845E0
9.800863750E-1;-3.952789702E0;-1.958850573E0;-1.449477983E0;4.643557732E0
9.900703750E-1;-4.274623960E0;-4.036510136E0;-1.818273568E-1;5.882081711E0
1.000054375E0;-3.141867722E0;-3.660831792E0;1.311949716E0;4.999423392E0
1.010038375E0;-2.046827487E0;-7.532080610E-1;2.077541449E0;3.012142695E0
1.020022375E0;-1.276114178E0;2.443285373E-1;1.325976602E0;1.856442237E0
1.030006375E0;-9.577367941E-1;1.465091510E-1;7.206283987E-2;9.715542964E-1
1.039990375E0;-6.788823487E-1;1.018329882E-1;-5.155466652E-1;8.585100843E-1
1.049974375E0;-1.653601357E-1;2.748615280E-1;1.608393610E-1;3.588344104E-1
1.059958375E0;-1.268914501E-1;2.946329375E-1;1.393942882E0;1.430379938E0
1.069942375E0;-5.207486406E-2;-2.443870825E-1;2.009928925E0;2.025401472E0
1.079926375E0;5.623857862E-1;-9.914660921E-1;2.237497296E0;2.511110697E0
1.089910375E0;1.080775806E0;-1.583356709E0;2.506379753E0;3.155476870E0
1.099894375E0;1.109811471E0;-1.666584661E0;2.409914144E0;3.133188809E0
1.109878375E0;1.165781312E0;-1.468978008E0;1.581393507E0;2.453109838E0
1.119862375E0;6.486418650E-1;-1.218081805E0;4.799745440E-1;1.461107496E0
1.129845375E0;-2.390695515E-1;-1.024267802E0;-2.992137194E-1;1.093529895E0
1.139829375E0;-8.193925488E-1;-8.364793555E-1;-1.977849931E-1;1.187527164E0
1.149813375E0;-6.913948055E-1;-5.188205212E-1;1.226015527E0;1.500105190E0
1.159797375E0;-1.194380921E0;-6.158239286E-1;9.478476906E-1;1.644445237E0
1.169781375E0;-1.488043586E0;-1.153525109E0;1.061987679E0;2.161645605E0
1.179765375E0;-1.300034553E0;-1.887314859E0;9.885554212E-1;2.495854370E0
1.189749375E0;-1.163354425E0;-2.446408809E0;-7.864493358E-1;2.820782185E0
1.199733375E0;-1.180874437E0;-2.771411819E0;-1.955610046E0;3.591601114E0
1.209717375E0;-7.720631388E-1;-2.700488017E0;-1.283352739E0;3.087994701E0
1.219701375E0;-3.227604568E-1;-2.476845467E0;-8.737611294E-1;2.646204129E0
1.229685375E0;2.638240314E-1;-2.367206373E0;-1.316343899E0;2.721402284E0
1.239669375E0;8.810146004E-1;-1.448366719E0;-1.868153241E0;2.522686943E0
1.249653375E0;1.113855113E0;-6.113123631E-1;-1.729114054E0;2.145742629E0
1.259637375E0;4.113817343E-1;-8.790408728E-1;-1.489595144E0;1.777875553E0
1.269621375E0;-4.095495093E-1;-1.980322718E0;-1.938026299E0;2.800956052E0
1.279605375E0;-4.754511380E-1;-3.257755443E0;-1.562492967E0;3.644229491E0
1.289589375E0;-8.616591471E-1;-3.724978672E0;-1.564606150E0;4.131091260E0
1.299573375E0;-1.355387804E0;-3.739979119E0;-2.032892695E0;4.467345142E0
1.309556375E0;-1.163873365E0;-3.451754656E0;-1.670260075E0;4.007365735E0
1.319540375E0;-7.847211912E-1;-3.331757220E0;-9.675890601E-1;3.557052447E0
1.329524375E0;3.995460927E-2;-3.089795635E0;-9.770451772E-1;3.240841051E0
1.339508375E0;1.202804419E0;-1.958570491E0;-9.355229294E-1;2.481519694E0
1.349492375E0;2.752773527E0;-2.818096574E0;-1.657165235E-1;3.942954775E0
1.359476375E0;3.003409748E0;-2.862329006E0;-2.002811694E-1;4.153734465E0
1.369460375E0;2.590326474E0;-1.654588952E0;2.175912666E0;3.765906501E0
1.379444375E0;2.021204111E0;-5.504405093E-1;2.756847575E0;3.462435467E0
1.389428375E0;1.594738314E0;6.433264536E-1;2.014492677E0;2.648629827E0
1.399412375E0;1.051887783E0;1.555096824E0;2.077794049E0;2.800361075E0
1.409396375E0;8.348353377E-1;1.904281433E0;2.374583513E0;3.156245344E0
1.419380375E0;9.746416792E-1;2.052125357E0;2.106711454E0;3.098286306E0
1.429364375E0;7.327882683E-1;2.087259521E0;1.526057212E0;2.687467501E0
1.439348375E0;5.755265263E-1;1.104365959E0;1.479669496E0;1.933979517E0
1.449332375E0;2.752342880E-2;3.436619139E-1;7.204664308E-1;7.987070352E-1
1.459316375E0;1.078188559E-1;-2.137566626E-2;-4.058844745E-2;1.171718689E-1
1.469300375E0;3.124064997E-1;1.291649938E-1;-9.081766713E-1;9.690543240E-1
1.479284375E0;2.057994792E-1;3.640207493E-1;-1.081287584E0;1.159330570E0
1.489268375E0;-3.164805472E-2;-6.144254208E-3;-1.180609851E0;1.181049944E0
1.499252375E0;2.720545721E-1;-3.276709485E-1;-1.066291814E0;1.148198665E0
1.509236375E0;8.805324975E-1;6.368904233E-2;-1.892480582E-1;9.028890301E-1
1.519220375E0;1.817112019E0;2.630428433E-1;4.366232872E-1;1.887253963E0
1.529203375E0;3.024017675E0;7.100157022E-1;1.080504057E0;3.288813496E0
1.539187375E0;3.258372909E0;1.349264892E0;1.767698076E0;3.944903833E0
1.549171375E0;2.587768610E0;1.339205343E0;1.912614592E0;3.485414165E0
1.559155375E0;1.597833538E0;1.506447405E-1;1.469099776E0;2.175780321E0
1.569139375E0;6.150735846E-1;-1.303285897E0;7.366465536E-1;1.618492443E0
1.579123375E0;-2.723673981E-1;-1.991142406E0;3.523005903E-2;2.009993343E0
1.589107375E0;-4.626928058E-1;-2.409953320E0;-3.308749303E-1;2.476174036E0
1.599091375E0;-3.586635303E-1;-2.759599274E0;-1.036534165E0;2.969584274E0
1.609075375E0;-3.400419027E-1;-2.746016192E0;-2.154045249E0;3.506585855E0
1.619059375E0;-6.480223525E-1;-2.146765466E0;-2.768157552E0;3.562475427E0
1.629043375E0;-1.340954245E0;-1.063810256E0;-2.332098521E0;2.892841865E0
1.639027375E0;-1.721298374E0;-8.140148646E-1;-1.073184074E0;2.185683497E0
1.649011375E0;-1.325343056E0;-2.157971655E0;-6.023089667E-1;2.603104295E0
1.658995375E0;-1.049371142E0;-3.370698214E0;-1.485307381E0;3.830003167E0
1.668979375E0;-1.259935225E0;-3.778181902E0;-2.575598508E0;4.742974059E0
1.678963375E0;-1.453217569E0;-3.768416467E0;-3.012423524E0;5.038600943E0
1.688947375E0;-1.430405535E0;-3.211413628E0;-3.171433291E0;4.734683369E0
1.698935417E0;-1.045221958E0;-2.188691171E0;-3.023098201E0;3.875820005E0
1.708919417E0;-1.361639062E0;-8.401466560E-1;-1.689879237E0;2.327143996E0
1.718903417E0;-1.889433306E0;-2.674083745E-1;1.453196812E-1;1.913787675E0
1.728887417E0;-1.882051488E0;-1.240768636E0;1.269241068E0;2.587005509E0
1.738871417E0;-1.989229782E0;-1.822418075E0;-1.401332009E-1;2.701458879E0
1.748855417E0;-1.416921855E0;-1.511524542E0;-1.213120516E0;2.400840555E0
1.758839417E0;-3.509089530E-2;-7.946956640E-1;-1.432717377E0;1.638734772E0
1.768823417E0;1.318044269E-1;2.623242205E-1;-5.353125930E-1;6.105292588E-1
1.778807417E0;-8.882131076E-1;1.085771813E0;-1.173218970E-1;1.407688667E0
1.788791417E0;-1.602877931E0;1.019746224E0;-9.114391252E-2;1.901948274E0
1.798775417E0;-1.480140197E0;2.382927489E-1;9.203844881E-1;1.759177661E0
1.808759417E0;-1.097522963E0;2.859171510E-1;9.231607461E-1;1.462371715E0
1.818743417E0;-1.011645491E0;8.857642937E-1;5.401950181E-1;1.449074063E0
1.828727417E0;-8.501032948E-1;1.033143949E0;1.042256835E0;1.695983886E0
1.838711417E0;-8.960898918E-1;7.987366748E-1;1.513827760E0;1.932002033E0
1.848695417E0;-1.301170959E0;2.790402406E-1;1.359388762E0;1.902326766E0
1.858679417E0;-1.206295207E0;-3.629121172E-1;1.351080453E0;1.847233532E0
1.868663417E0;-8.100580537E-1;-9.714523154E-1;1.301329418E0;1.814764973E0
1.878647417E0;-7.502755362E-1;-1.297701221E0;1.054403256E0;1.832677840E0
1.888631417E0;-1.078400813E0;-1.340201123E0;6.166748446E-1;1.827395751E0
1.898615417E0;-1.897733136E0;-1.238495239E0;2.370687805E-2;2.266235541E0
1.908599417E0;-2.887829883E0;-6.851147497E-1;-6.123403037E-1;3.030495719E0
1.918583417E0;-3.571295718E0;3.347308767E-1;-9.710260534E-1;3.716058323E0
1.928567417E0;-2.732233136E0;7.171656775E-1;-2.767861390E-1;2.838315536E0
1.938551417E0;-1.207840626E0;6.583847880E-2;-7.489814012E-1;1.422739197E0
1.948535417E0;-4.630173263E-1;-2.129234344E-1;-1.990851361E0;2.055045151E0
1.958519417E0;2.361129069E-1;-2.476395231E-1;-1.854426464E0;1.885728546E0
1.968503417E0;6.187956297E-1;1.921488619E-1;-2.088581138E0;2.186778541E0
1.978487417E0;2.965707779E-1;8.969956255E-1;-1.510835740E0;1.781903480E0
1.988471417E0;4.057090580E-1;8.166730088E-1;-8.353073542E-1;1.236645875E0
1.998455417E0;5.560731322E-1;-6.588402861E-1;-3.554906850E-1;9.325564208E-1
2.008439417E0;9.125515580E-2;-1.391404021E0;-2.086046809E-1;1.409910837E0
2.018423417E0;2.721001804E-1;-1.629412596E0;-1.962571156E-1;1.663592730E0
2.028407417E0;7.547884172E-1;-1.589419979E0;3.230694821E-1;1.788948103E0
